Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2011";"2013";"2015";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"zł";4902,21;5557,75;6288,12;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"zł";3099,00;3286,85;3920,48;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";1083,90;1129,45;1294,38;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";163,30;66,30;149,72;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";1484,37;1681,44;1786,83;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"zł";4902,21;5557,75;6288,12;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne";"";"zł";3099,00;3286,85;3920,48;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";1083,90;1129,45;1294,38;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";163,30;66,30;149,72;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";1484,37;1681,44;1786,83;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"zł";5295,21;5937,53;6467,26;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"w Dziale 801- Oświata i wychowanie";"";"zł";1775,15;2181,86;2183,91;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"w Dziale 921 - Kultura i ochrona dziedzictwa narodowego";"";"zł";186,14;192,37;237,08;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"wydatki w rozdziale 90005 Ochrona powietrza atmosferycznego i klimatu";"";"zł";0,00;0,00;4,33;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"wydatki majątkowe";"";"zł";586;850;1030;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"zł";5295,21;5937,53;6467,26;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"w Dziale 801- Oświata i wychowanie";"";"zł";1775,15;2181,86;2183,91;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"w Dziale 921 - Kultura i ochrona dziedzictwa narodowego";"";"zł";186,14;192,37;237,08;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"wydatki w rozdziale 90005 Ochrona powietrza atmosferycznego i klimatu";"";"zł";0,00;0,00;4,33;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"wydatki majątkowe";"";"zł";586;850;1030;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 010 - Rolnictwo i łowiectwo";"";"zł";58846,17;84687,94;81314,46;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";"gminy łącznie z miastami na prawach powiatu";"Dział 020 - Leśnictwo";"";"zł";28046,52;18489,60;8424,00;
