Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2011";"2013";"2015";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"zł";4493,98;4436,68;4931,84;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"zł";2770,40;2633,98;3120,51;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";870,56;960,83;1153,70;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";137,79;40,51;40,06;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";634,50;702,03;865,30;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"zł";4493,98;4436,68;4931,84;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne";"";"zł";2770,40;2633,98;3120,51;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";870,56;960,83;1153,70;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";137,79;40,51;40,06;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";634,50;702,03;865,30;
"FINANSE PUBLICZNE";"WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"zł";4129,81;4327,53;4398,62;
