Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Jednostka miary;"2011";"2013";"2015";
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"ogółem";"";"zł";4490,73;4739,04;4884,13;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne";"";"zł";2993,72;2707,17;3102,65;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";1069,25;1178,70;1371,30;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";108,36;48,67;81,33;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"gminy łącznie z miastami na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";758,68;828,69;916,73;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"ogółem";"";"zł";4490,73;4739,04;4884,13;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne";"";"zł";2993,72;2707,17;3102,65;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób fizycznych";"";"zł";1069,25;1178,70;1371,30;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - udziały w podatkach stanowiących dochody budżetu państwa podatek dochodowy od osób prawnych";"";"zł";108,36;48,67;81,33;
"FINANSE PUBLICZNE";"DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU";"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";"miasta na prawach powiatu";"dochody własne - dochody podatkowe ustalone i pobierane na podstawie odrębnych ustaw";"";"zł";758,68;828,69;916,73;
