Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;2012;2013;2014;2015;2016;2017;2018;2019;2020
FINANSE PUBLICZNE;DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4967,58;4663,33;5870,77;4615,36;5285,21;6005,48;6923,65;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;5149,68;4883,68;5089,83;4801,96;5136,96;6379,05;7332,43;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 010 - Rolnictwo i łowiectwo;;;;zł;5874,36;6617,44;4833,24;5444,80;5659,87;4836,90;3918,61;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 600 - Transport i łączność;;;;zł;347045343,15;322426479,87;307595978,55;193467307,45;164320241,23;394036670,68;592010603,23;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 700 - Gospodarka mieszkaniowa;;;;zł;96984005,27;101436695,94;67825365,35;75088039,41;79647633,17;106165930,61;63120339,98;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 710 - Działalność usługowa;;;;zł;26877340,61;22743847,99;46278726,43;42526517,43;13388970,81;11732332,48;13166263,45;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 750 - Administracja publiczna;;;;zł;79879141,63;72672769,99;84282134,84;83234157,24;83699959,27;88508097,19;99743375,72;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;;;;zł;48726,30;335509,25;1875980,56;1907154,55;199944,36;56569,01;1383738,80;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 752 - Obrona narodowa;;;;zł;6129,24;4312,48;10808,81;43593,17;35217,07;60589,32;309387,46;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa;;;;zł;30602856,64;30257297,58;32013060,79;32953438,25;33364761,75;33154876,33;34924104,73;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 755 - Wymiar sprawiedliwości;;;;zł;0,00;0,00;0,00;0,00;735806,58;748835,82;760825,64;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 757 - Obsługa długu publicznego;;;;zł;35935758,96;29800202,38;26786847,24;21608611,83;20206305,87;13858733,70;13371997,25;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 758 - Różne rozliczenia;;;;zł;4959,00;471436,00;1354277,00;646070,70;1042500,00;0,00;0,00;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 801 - Oświata i wychowanie;;;;zł;514743477,91;506461008,15;515082869,09;534350105,99;560683635,54;610459802,90;680848831,34;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 851 - Ochrona zdrowia;;;;zł;11973453,92;10578921,04;10845894,22;14235619,18;12847229,76;15301775,84;18797446,19;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 852 - Pomoc społeczna;;;;zł;163862311,42;172259179,77;184599570,06;183459139,50;311602356,96;110820038,51;112587783,54;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 853 - Pozostałe zadania w zakresie polityki społecznej;;;;zł;26865897,18;29391242,23;32143105,04;21478409,14;19836988,90;10430204,23;12181436,59;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 854 - Edukacyjna opieka wychowawcza;;;;zł;41063182,92;41065912,94;43172895,65;45269971,71;46559552,22;49643648,60;54168860,84;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 855 - Rodzina;;;;zł;;;;;;264480403,24;286749017,38;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 900 - Gospodarka komunalna i ochrona środowiska;;;;zł;54646950,54;51412096,46;79962661,41;90303713,93;84787266,40;79576443,70;93455746,31;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 921 - Kultura i ochrona dziedzictwa narodowego;;;;zł;30430274,03;27552669,47;27538269,81;30008580,89;33064074,29;32412787,73;56672461,05;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 926 - Kultura fizyczna;;;;zł;50755184,75;19963403,06;33634629,96;45900471,87;53623956,36;70168592,49;44300220,89;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;wodociąg;;;;%;97,2;97,3;97,3;97,4;97,4;97,5;97,5;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;kanalizacja;;;;%;95,7;95,9;96,0;96,1;96,2;96,2;96,3;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;gaz;;;;%;91,9;91,9;91,8;91,3;91,3;91,2;90,1;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;"Mieszkania wyposażone w instalacje - w % ogółu mieszkań (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;centralne ogrzewanie;;;;%;95,4;95,5;95,6;95,7;95,8;95,9;96,0;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;Zasoby mieszkaniowe - wskaźniki (Wymiary: Wskaźniki);mieszkania na 1000 mieszkańców;;;;;-;410,5;415,2;420,7;426,9;431,8;437,6;443,7;;
HANDEL I GASTRONOMIA;SKLEPY I STACJE PALIW;Sklepy wg form organizacyjnych (Wymiary: Formy organizacyjne);supermarkety;;;;;ob.;52;63;62;68;70;69;68;69;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;przemysł i budownictwo;;;%;61,9;42,1;63,9;46,0;48,6;44,2;44,2;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"handel; naprawa pojazdów samochodowych; transport i gospodarka magazynowa; zakwaterowanie i gastronomia; informacja i komunikacja";;;%;23,9;24,3;17,3;26,8;35,1;38,0;37,1;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"działalność finansowa i ubezpieczeniowa; obsługa rynku nieruchomości";;;%;4,5;4,5;3,8;1,9;4,6;5,5;3,4;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;pozostałe usługi;;;%;9,4;28,9;14,9;25,1;11,5;12,2;15,1;;
KULTURA FIZYCZNA, SPORT I REKREACJA;SPORT;Kluby sportowe łącznie z klubami wyznaniowymi i UKS (Wymiary: Kluby sportowe);ćwiczący ogółem;;;;;osoba;9445;;8439;;9695;;11374;;
KULTURA I SZTUKA;BIBLIOTEKI;Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki);ludność na 1 placówkę biblioteczną (łącznie z punktami bibliotecznymi ujętymi zgodnie z siedzibą jednostki macierzystej);;;;;osoba;8937;8437;8442;9249;16479;17488;16526;16531;
KULTURA I SZTUKA;DZIAŁALNOŚĆ CENTRÓW, DOMÓW, OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC;Centra, domy i ośrodki kultury, kluby i świetlice (Wymiary: Wyszczególnienie);liczba uczestników imprez na 1000 mieszkańców;;;;;osoba;840,5;985,4;1282,5;1272,5;1215,9;1094,0;1143,9;907,0;
KULTURA I SZTUKA;KINA;Liczba ludności na 1 miejsce w kinach stałych (Wymiary: Wyszczególnienie);ogółem;;;;;osoba;88;88;88;69;69;69;69;69;
KULTURA I SZTUKA;MUZEA;Muzea (Wymiary: Muzea);muzea łącznie z oddziałami;;;;;ob.;5;6;6;9;9;8;8;8;
KULTURA I SZTUKA;ORGANIZACJA IMPREZ MASOWYCH;"Imprezy artystyczno - rozrywkowe, interdyscyplinarne i sportowe (Wymiary: Wyszczególnienie; Imprezy)";liczba imprez;ogółem;;;;-;;45;46;54;54;46;51;48;
LUDNOŚĆ;MAŁŻEŃSTWA, ROZWODY I SEPARACJE;Małżeństwa na 1000 ludności (Wymiary: Ogółem);ogółem;;;;;-;4,9;4,6;4,9;5,0;5,4;4,9;4,9;4,4;
LUDNOŚĆ;MAŁŻEŃSTWA, ROZWODY I SEPARACJE;Rozwody na 1000 ludności (Wymiary: Ogółem);ogółem;;;;;-;2,0;2,4;2,1;2,3;1,9;2,1;1,9;2,6;
LUDNOŚĆ;MIGRACJE WEWNĘTRZNE I ZAGRANICZNE;"Migracje na pobyt stały wewnętrzne i zagraniczne (dane półroczne) (Wymiary: Okresy; Migracje)";rok;migracje wewnętrzne na pobyt stały - napływ;;;;osoba;2602;2622;2685;2372;2513;2728;2832;2818;
