Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;2012;2013;2014;2015;2016;2017;2018;2019;2020;Unnamed: 18
FINANSE PUBLICZNE;DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4589,86;4491,12;4842,79;4989,94;5506,29;5715,62;6522,95;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4828,77;5044,24;4879,62;5031,96;5279,30;5897,75;6548,92;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 010 - Rolnictwo i łowiectwo;;;;zł;27040,32;27814,66;21939,07;26255,22;12870,08;11405,84;109587,83;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 600 - Transport i łączność;;;;zł;250232190,87;296325531,47;264110697,26;228496897,01;216066085,55;241915797,28;274542920,79;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 700 - Gospodarka mieszkaniowa;;;;zł;35383693,74;45390839,96;30889627,27;60117545,88;84299104,99;67639883,66;75293571,63;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 710 - Działalność usługowa;;;;zł;114802900,03;70827814,51;44945862,25;49344753,91;25305661,17;33418415,09;33254557,11;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 750 - Administracja publiczna;;;;zł;80264818,68;82400003,80;86700542,55;87272561,09;91741534,97;97222375,89;104229144,57;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;;;;zł;41703,66;41622,15;1012135,52;1226031,51;138967,32;46986,72;900037,74;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 752 - Obrona narodowa;;;;zł;0,00;0,00;0,00;0,00;0,00;0,00;117800,00;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa;;;;zł;23680310,38;23584210,82;23340529,59;23352169,68;23750760,45;27808204,68;31482615,40;;;
