Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;2012;2013;2014;2015;2016;2017;2018;2019;2020;Unnamed: 18;Dzielnik
FINANSE PUBLICZNE;DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;3910,68;4163,29;4326,43;4449,14;4961,74;5312,47;5614,30;;;;-
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;3737,89;4117,25;4209,12;4838,00;5127,32;5188,86;5966,81;;;;-
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 010 - Rolnictwo i łowiectwo;;;;zł;85474,77;122794,04;119968,95;122404,70;129910,67;84191,39;105590,71;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 600 - Transport i łączność;;;;zł;60690918,65;44254228,66;59528977,38;95192562,22;64704425,61;50368249,11;68926785,56;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 700 - Gospodarka mieszkaniowa;;;;zł;28977674,05;37202259,20;35459857,89;34812149,57;38934230,07;31394529,02;34045523,13;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 710 - Działalność usługowa;;;;zł;3579168,09;15953667,68;2181798,91;3577522,45;3201059,65;1301033,85;3995419,44;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 750 - Administracja publiczna;;;;zł;25964141,48;26486605,35;27976225,86;32359071,94;32958433,53;37375290,02;39941013,40;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;;;;zł;14354,20;13851,54;506440,03;489903,12;60048,26;37620,84;408465,06;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 752 - Obrona narodowa;;;;zł;0,00;0,00;600,00;1070,00;1220,00;600,00;77006,65;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa;;;;zł;8438161,80;8485936,68;8307220,40;11430099,82;10475468,95;9270798,99;11267506,12;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 755 - Wymiar sprawiedliwości;;;;zł;0,00;0,00;0,00;0,00;247200,00;250545,63;239363,74;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 757 - Obsługa długu publicznego;;;;zł;6363518,33;4303426,59;3738646,98;2397810,83;2846452,24;3755616,21;3360526,19;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 758 - Różne rozliczenia;;;;zł;713783,00;2534648,00;1725876,00;2412009,00;2496938,00;4254637,00;2703772,00;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 801 - Oświata i wychowanie;;;;zł;122988805,23;132200833,95;133802357,78;135558647,82;143116796,95;145464148,69;155142286,95;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 851 - Ochrona zdrowia;;;;zł;5475189,30;5934735,16;7793235,23;7098878,49;7783723,33;7446327,61;8526041,97;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 852 - Pomoc społeczna;;;;zł;44556241,06;47145843,21;48611556,91;51897865,70;88629171,10;25132556,49;26650805,98;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 853 - Pozostałe zadania w zakresie polityki społecznej;;;;zł;3281530,55;3454752,42;5632587,09;4288159,06;4121954,37;3993623,67;4642140,01;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 854 - Edukacyjna opieka wychowawcza;;;;zł;7652270,26;8385656,24;8967340,18;9208310,48;14140461,57;10007731,91;10951637,21;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 855 - Rodzina;;;;zł;;;;;;77387973,02;82419970,86;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 900 - Gospodarka komunalna i ochrona środowiska;;;;zł;16414202,28;24185678,01;29002864,14;33414583,60;35303751,90;45140605,31;47635496,45;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 921 - Kultura i ochrona dziedzictwa narodowego;;;;zł;8837242,88;9104802,35;9507345,27;10842620,17;13391378,26;12717687,08;13768607,92;;;;l
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 926 - Kultura fizyczna;;;;zł;7228252,03;7210452,79;10463049,79;13604631,99;12202628,54;13053855,17;32569532,42;;;;l
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;wodociąg;;;;%;98,7;98,7;98,7;98,7;98,8;98,8;98,8;;;;-
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;kanalizacja;;;;%;72,2;72,7;83,1;87,2;87,5;87,8;88,1;;;;-
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;gaz;;;;%;34,6;34,5;34,4;34,6;34,7;34,7;35,0;;;;-
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;"Mieszkania wyposażone w instalacje - w % ogółu mieszkań (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;centralne ogrzewanie;;;;%;92,3;92,3;92,4;92,4;92,5;92,6;92,7;;;;-
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;Zasoby mieszkaniowe - wskaźniki (Wymiary: Wskaźniki);mieszkania na 1000 mieszkańców;;;;;-;360,3;364,0;367,0;370,4;373,9;377,0;383,5;;;;-
HANDEL I GASTRONOMIA;SKLEPY I STACJE PALIW;Sklepy wg form organizacyjnych (Wymiary: Formy organizacyjne);supermarkety;;;;;ob.;10;12;12;15;15;16;17;17;;;l
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;przemysł i budownictwo;;;%;88,4;87,4;83,4;94,5;95,8;82,7;90,3;;;;-
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"handel; naprawa pojazdów samochodowych; transport i gospodarka magazynowa; zakwaterowanie i gastronomia; informacja i komunikacja";;;%;7,0;9,1;11,6;4,0;3,1;15,1;6,8;;;;-
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"działalność finansowa i ubezpieczeniowa; obsługa rynku nieruchomości";;;%;2,3;1,6;2,0;0,5;0,7;0,9;2,0;;;;-
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;pozostałe usługi;;;%;2,3;1,8;2,8;1,0;0,4;1,3;1,0;;;;-
KULTURA FIZYCZNA, SPORT I REKREACJA;SPORT;Kluby sportowe łącznie z klubami wyznaniowymi i UKS (Wymiary: Kluby sportowe);ćwiczący ogółem;;;;;osoba;1644;;1937;;2452;;2279;;;;l
KULTURA I SZTUKA;BIBLIOTEKI;Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki);ludność na 1 placówkę biblioteczną (łącznie z punktami bibliotecznymi ujętymi zgodnie z siedzibą jednostki macierzystej);;;;;osoba;5547;5512;5490;5462;5440;5417;5386;5360;;;-
