Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;2012;2013;2014;2015;2016;2017;2018;2019;2020;Unnamed: 18
FINANSE PUBLICZNE;DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4539,28;4922,21;5328,16;5424,19;6099,34;6469,58;6896,89;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4595,20;4795,90;5362,63;5526,42;6122,59;6540,49;7242,33;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 010 - Rolnictwo i łowiectwo;;;;zł;159030,05;176100,19;214022,38;176918,43;221229,57;228960,20;304308,23;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 020 - Leśnictwo;;;;zł;8000,00;8000,00;8000,00;9300,00;749956,75;1602907,84;2516277,82;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 600 - Transport i łączność;;;;zł;737042594,51;744308289,06;896774776,15;903286630,36;838902124,53;849655335,14;949253266,63;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 630 - Turystyka;;;;zł;36598,30;67878,60;193138,47;0,00;0,00;0,00;0,00;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 700 - Gospodarka mieszkaniowa;;;;zł;194451089,69;190480793,39;204336399,08;242132200,10;205628756,82;217059891,78;228036893,60;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 710 - Działalność usługowa;;;;zł;13225568,40;8923628,93;6692429,79;8766125,22;15899541,52;15933065,25;26435008,09;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 750 - Administracja publiczna;;;;zł;192263304,31;202848539,29;223891590,93;240830460,48;266725349,53;317473862,31;363664277,05;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;;;;zł;98035,09;98998,64;4588184,28;4540815,04;587131,85;124568,96;4419144,39;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 752 - Obrona narodowa;;;;zł;2000,00;4770,55;6272,36;1500,00;14172,08;16462,39;409080,72;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa;;;;zł;73286202,82;77227601,39;78387100,67;90981310,77;91241354,71;94450110,83;116270896,70;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 755 - Wymiar sprawiedliwości;;;;zł;0,00;0,00;0,00;0,00;1843093,20;1884156,93;1969663,24;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 757 - Obsługa długu publicznego;;;;zł;108366878,95;88752690,75;73974617,82;63978163,92;59267534,10;66008552,97;66771490,79;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 758 - Różne rozliczenia;;;;zł;64004822,89;64880087,39;58484821,70;60209266,35;68744447,17;69212231,12;78132339,10;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 801 - Oświata i wychowanie;;;;zł;1016967136,81;1052837056,54;1060677604,21;1113854693,92;1199188457,09;1224969366,09;1369984591,69;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 803 - Szkolnictwo wyższe;;;;zł;494025,12;0,00;0,00;0,00;0,00;0,00;0,00;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 851 - Ochrona zdrowia;;;;zł;34511532,33;48730240,30;57108601,74;62174363,83;65147266,33;73157821,63;96836249,47;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 852 - Pomoc społeczna;;;;zł;361577285,69;362814437,77;373620084,40;406353442,40;714739936,45;334709116,17;356957775,16;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 853 - Pozostałe zadania w zakresie polityki społecznej;;;;zł;50230077,76;50716822,16;59298318,12;67589109,34;68585597,07;39446440,49;44046529,33;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 854 - Edukacyjna opieka wychowawcza;;;;zł;165274164,25;173473900,39;188988657,41;200302128,71;204781219,33;208627518,15;228361024,80;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 855 - Rodzina;;;;zł;;;;;;561025853,09;593442853,49;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 900 - Gospodarka komunalna i ochrona środowiska;;;;zł;128997909,79;217663882,49;340297877,96;425530450,42;514180691,07;539265015,91;570526516,56;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 921 - Kultura i ochrona dziedzictwa narodowego;;;;zł;174993086,50;220825618,30;315362412,40;191023266,22;206871103,36;235425304,95;277015106,00;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 925 - Ogrody botan. i zoolog. oraz naturalne obszary i obiekty chronionej przyrody;;;;zł;9800000,00;8220000,00;10232588,00;12402787,00;11285000,00;12795183,18;12467215,84;;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 926 - Kultura fizyczna;;;;zł;162569283,18;126739924,34;121386304,99;119797427,86;133549912,82;151776032,48;185135537,40;;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;wodociąg;;;;%;99,7;99,7;99,7;99,7;99,7;99,7;99,7;;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;kanalizacja;;;;%;91,1;91,3;91,5;91,6;91,8;91,9;92,0;;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;gaz;;;;%;76,3;75,5;74,4;73,6;72,5;71,1;69,7;;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;"Mieszkania wyposażone w instalacje - w % ogółu mieszkań (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;centralne ogrzewanie;;;;%;88,6;88,8;89,0;89,3;89,6;89,9;90,2;;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;Zasoby mieszkaniowe - wskaźniki (Wymiary: Wskaźniki);mieszkania na 1000 mieszkańców;;;;;-;447,6;456,4;464,1;472,9;482,4;495,3;505,3;;;
HANDEL I GASTRONOMIA;SKLEPY I STACJE PALIW;Sklepy wg form organizacyjnych (Wymiary: Formy organizacyjne);supermarkety;;;;;ob.;88;110;118;132;136;139;137;140;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;rolnictwo, leśnictwo, łowiectwo i rybactwo;;;%;0,1;0,0;0,1;0,0;0,1;0,1;0,1;;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;przemysł i budownictwo;;;%;33,1;33,4;39,4;40,5;49,7;43,5;45,2;;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"handel; naprawa pojazdów samochodowych; transport i gospodarka magazynowa; zakwaterowanie i gastronomia; informacja i komunikacja";;;%;40,4;35,0;29,8;31,5;32,3;33,1;35,3;;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"działalność finansowa i ubezpieczeniowa; obsługa rynku nieruchomości";;;%;5,4;10,2;8,9;5,7;4,4;9,2;2,7;;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;pozostałe usługi;;;%;21,0;21,3;21,9;22,3;13,6;14,2;16,6;;;
KULTURA FIZYCZNA, SPORT I REKREACJA;SPORT;Kluby sportowe łącznie z klubami wyznaniowymi i UKS (Wymiary: Kluby sportowe);ćwiczący ogółem;;;;;osoba;25201;;27976;;25605;;25569;;;
KULTURA I SZTUKA;BIBLIOTEKI;Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki);ludność na 1 placówkę biblioteczną (łącznie z punktami bibliotecznymi ujętymi zgodnie z siedzibą jednostki macierzystej);;;;;osoba;9479;10257;10437;10426;10933;11121;11175;11292;;
KULTURA I SZTUKA;DZIAŁALNOŚĆ CENTRÓW, DOMÓW, OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC;Centra, domy i ośrodki kultury, kluby i świetlice (Wymiary: Wyszczególnienie);liczba uczestników imprez na 1000 mieszkańców;;;;;osoba;1248,0;1156,9;1009,6;1017,1;1770,8;952,7;1093,4;1156,5;;
KULTURA I SZTUKA;DZIAŁALNOŚĆ CENTRÓW, DOMÓW, OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC;Infrastruktura centrów, domów i ośrodków kultury, klubów i świetlic (Wymiary: Infrastruktura);obiekty przystosowane dla osób niepełnosprawnych;;;;;ob.;;20;22;26;25;;;;;
KULTURA I SZTUKA;KINA;Liczba ludności na 1 miejsce w kinach stałych (Wymiary: Wyszczególnienie);ogółem;;;;;osoba;53;51;51;52;52;53;55;54;;
KULTURA I SZTUKA;MUZEA;Muzea (Wymiary: Muzea);muzea łącznie z oddziałami;;;;;ob.;44;50;51;67;60;64;64;65;;
KULTURA I SZTUKA;ORGANIZACJA IMPREZ MASOWYCH;"Imprezy artystyczno - rozrywkowe, interdyscyplinarne i sportowe (Wymiary: Wyszczególnienie; Imprezy)";liczba imprez;ogółem;;;;-;;256;225;251;262;269;265;255;;
LUDNOŚĆ;MAŁŻEŃSTWA, ROZWODY I SEPARACJE;Małżeństwa na 1000 ludności (Wymiary: Ogółem);ogółem;;;;;-;4,5;4,3;4,6;4,9;5,3;5,8;5,8;6,2;;
LUDNOŚĆ;MAŁŻEŃSTWA, ROZWODY I SEPARACJE;Rozwody na 1000 ludności (Wymiary: Ogółem);ogółem;;;;;-;2,2;1,6;1,9;2,0;1,9;1,7;1,8;1,9;;
LUDNOŚĆ;MIGRACJE WEWNĘTRZNE I ZAGRANICZNE;"Migracje na pobyt stały wewnętrzne i zagraniczne (dane półroczne) (Wymiary: Okresy; Migracje)";rok;migracje wewnętrzne na pobyt stały - napływ;;;;osoba;6317;7424;7507;7533;7032;7734;10545;13206;;
LUDNOŚĆ;MIGRACJE WEWNĘTRZNE I ZAGRANICZNE;"Migracje na pobyt stały wewnętrzne i zagraniczne (dane półroczne) (Wymiary: Okresy; Migracje)";rok;migracje zagraniczne na pobyt stały - imigracja;;;;osoba;561;532;549;0;400;473;708;768;;
LUDNOŚĆ;STAN LUDNOŚCI;Gęstość zaludnienia oraz wskaźniki (Wymiary: Wskaźniki);ludność na 1 km2;;;;;osoba;2320;2322;2331;2328;2342;2348;2359;2384;;
LUDNOŚĆ;STAN LUDNOŚCI;"Ludność wg grup wieku i płci (Wymiary: Wiek; Płeć)";ogółem;ogółem;;;;osoba;758334;758992;761873;761069;765320;767348;771069;779115;;
LUDNOŚĆ;URODZENIA I ZGONY;Urodzenia żywe, zgony i przyrost naturalny na 1000 ludności (Wymiary: Urodzenia żywe i zgony);przyrost naturalny na 1000 ludności;;;;;-;0,01;0,26;0,64;0,54;2,18;1,97;2,05;1,97;;
OCHRONA ZDROWIA, OPIEKA SPOŁECZNA I ŚWIADCZENIA NA RZECZ RODZINY;AMBULATORYJNA OPIEKA ZDROWOTNA;Podmioty ambulatoryjne (stan w dniu 31 XII) (Wymiary: Rodzaje placówek);przychodnie na 10 tys. ludności;;;;;ob.;7;8;8;8;9;9;9;9;;
