Kategoria;Grupa;Podgrupa (wymiary);Wymiar 1;Wymiar 2;Wymiar 3;Wymiar 4;Wymiar 5;Jednostka miary;2012;2013;2014;2015;2016;2017;2018;2019;2020
FINANSE PUBLICZNE;DOCHODY BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Dochody na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;4985,44;4852,90;5178,83;6099,13;6006,55;6505,48;6879,58;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki na 1 mieszkańca (Wymiary: Jednostki terytorialne; Wskaźniki)";miasta na prawach powiatu;ogółem;;;;zł;5167,35;4905,87;4715,71;5703,56;5949,22;6206,01;6607,78;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 010 - Rolnictwo i łowiectwo;;;;zł;416272,60;1064246,18;419689,91;482687,90;573608,41;1051313,24;1107176,56;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 600 - Transport i łączność;;;;zł;910558946,03;860003805,25;717353486,33;889906629,82;924750038,33;793322676,37;828015134,83;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 700 - Gospodarka mieszkaniowa;;;;zł;107230540,30;36281744,34;46967667,29;69330170,83;53675426,86;89325887,06;66668679,03;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 710 - Działalność usługowa;;;;zł;31378097,34;32363015,78;32429768,22;35259359,53;39988468,60;48442021,82;54057246,82;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 750 - Administracja publiczna;;;;zł;145697284,92;136795035,62;143839613,00;149462329,48;160748470,90;170360897,63;188708987,88;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 751 - Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;;;;zł;91478,00;90688,00;3660050,87;3284000,44;347211,00;101089,44;1933078,51;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 752 - Obrona narodowa;;;;zł;0,00;50,01;0,00;12652,07;15306,96;5261,67;347514,88;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 754 - Bezpieczeństwo publiczne i ochrona przeciwpożarowa;;;;zł;67604860,52;61917722,51;63943738,21;64859184,45;73566042,24;89383244,43;88941694,58;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 755 - Wymiar sprawiedliwości;;;;zł;0,00;0,00;0,00;0,00;1349015,62;1356721,63;1356008,69;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 757 - Obsługa długu publicznego;;;;zł;94741014,33;72312260,95;58801276,13;39116031,69;31845942,32;29536167,77;23226363,10;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 758 - Różne rozliczenia;;;;zł;75795858,86;66958755,30;69670356,82;63296168,07;64143338,85;68819314,01;76670428,68;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 801 - Oświata i wychowanie;;;;zł;773699432,35;782602987,22;809980007,76;838553075,68;902567118,63;961784050,87;1063646076,85;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 851 - Ochrona zdrowia;;;;zł;19107554,61;20335373,40;24492049,92;36439589,32;42666550,78;34526179,72;39404332,65;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 852 - Pomoc społeczna;;;;zł;252842350,61;264998029,15;272763857,41;284694512,61;500203225,65;182983319,98;186623938,83;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 853 - Pozostałe zadania w zakresie polityki społecznej;;;;zł;32302975,39;43239759,74;35487138,25;37500895,75;48077910,76;14626518,21;15340942,21;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 854 - Edukacyjna opieka wychowawcza;;;;zł;49987672,27;53173361,10;55335739,29;60656100,84;63718475,75;66190944,17;72081593,38;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 855 - Rodzina;;;;zł;;;;;;440026394,83;453859880,32;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 900 - Gospodarka komunalna i ochrona środowiska;;;;zł;87836848,68;68375774,84;57691033,16;368782245,25;125748510,50;161931879,86;145199788,32;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 921 - Kultura i ochrona dziedzictwa narodowego;;;;zł;117377368,23;130588955,21;108383919,51;97967421,26;109193469,75;109930605,98;122308283,81;;
FINANSE PUBLICZNE;WYDATKI BUDŻETÓW GMIN I MIAST NA PRAWACH POWIATU;"Wydatki ogółem wg działów Klasyfikacji Budżetowej (Wymiary: Jednostki terytorialne; Działy klasyfikacji budżetowej)";miasta na prawach powiatu;Dział 926 - Kultura fizyczna;;;;zł;66509691,99;28889690,50;28566266,22;44218708,15;53236805,55;56321278,49;90095173,74;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;wodociąg;;;;%;96,6;96,6;97,1;97,9;97,9;97,9;98,4;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;kanalizacja;;;;%;90,9;91,2;93,6;94,6;94,7;94,8;95,0;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;URZĄDZENIA SIECIOWE;"Korzystający z instalacji w % ogółu ludności (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;gaz;;;;%;83,0;82,3;81,3;80,4;79,6;78,9;77,6;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;"Mieszkania wyposażone w instalacje - w % ogółu mieszkań (Wymiary: Lokalizacje; Rodzaje instalacji)";w miastach;centralne ogrzewanie;;;;%;86,8;87,0;87,2;87,4;87,5;87,7;87,9;;
GOSPODARKA MIESZKANIOWA I KOMUNALNA;ZASOBY MIESZKANIOWE;Zasoby mieszkaniowe - wskaźniki (Wymiary: Wskaźniki);mieszkania na 1000 mieszkańców;;;;;-;438,8;445,5;454,0;463,4;470,2;479,0;488,1;;
HANDEL I GASTRONOMIA;SKLEPY I STACJE PALIW;Sklepy wg form organizacyjnych (Wymiary: Formy organizacyjne);supermarkety;;;;;ob.;95;114;119;123;129;138;142;149;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;przemysł i budownictwo;;;%;40,5;44,9;46,6;53,3;44,9;40,9;42,9;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"handel; naprawa pojazdów samochodowych; transport i gospodarka magazynowa; zakwaterowanie i gastronomia; informacja i komunikacja";;;%;38,6;29,6;29,7;30,2;27,2;40,8;37,4;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;"działalność finansowa i ubezpieczeniowa; obsługa rynku nieruchomości";;;%;3,3;4,1;4,7;3,8;7,0;7,4;7,9;;
INWESTYCJE I ŚRODKI TRWAŁE;NAKŁADY INWESTYCYJNE I ŚRODKI TRWAŁE W PRZEDSIĘBIORSTWACH WG PKD 2007;"Nakłady inwestycyjne i wartość brutto środków trwałych (Wymiary: Wyszczególnienie; Zakres przedmiotowy; Sektory ekonomiczne)";nakłady inwestycyjne w przedsiębiorstwach;w % ogółem;pozostałe usługi;;;%;16,5;20,7;18,6;12,4;20,4;10,6;11,3;;
KULTURA FIZYCZNA, SPORT I REKREACJA;SPORT;Kluby sportowe łącznie z klubami wyznaniowymi i UKS (Wymiary: Kluby sportowe);ćwiczący ogółem;;;;;osoba;11515;;12870;;15228;;17566;;
KULTURA I SZTUKA;BIBLIOTEKI;Biblioteki publiczne - wskaźniki (Wymiary: Wskaźniki);ludność na 1 placówkę biblioteczną (łącznie z punktami bibliotecznymi ujętymi zgodnie z siedzibą jednostki macierzystej);;;;;osoba;10199;12455;12402;12613;13180;13137;13084;13044;
KULTURA I SZTUKA;DZIAŁALNOŚĆ CENTRÓW, DOMÓW, OŚRODKÓW KULTURY, KLUBÓW I ŚWIETLIC;Centra, domy i ośrodki kultury, kluby i świetlice (Wymiary: Wyszczególnienie);liczba uczestników imprez na 1000 mieszkańców;;;;;osoba;617,8;639,5;992,7;804,4;859,8;965,7;790,5;752,8;
KULTURA I SZTUKA;KINA;Liczba ludności na 1 miejsce w kinach stałych (Wymiary: Wyszczególnienie);ogółem;;;;;osoba;35;35;33;33;30;30;31;34;
KULTURA I SZTUKA;MUZEA;Muzea (Wymiary: Muzea);muzea łącznie z oddziałami;;;;;ob.;18;18;18;19;21;20;20;20;
KULTURA I SZTUKA;ORGANIZACJA IMPREZ MASOWYCH;"Imprezy artystyczno - rozrywkowe, interdyscyplinarne i sportowe (Wymiary: Wyszczególnienie; Imprezy)";liczba imprez;ogółem;;;;-;;87;131;138;211;213;215;187;
